pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,Total Stats,is_legendary
479,Rotom,electric,ghost,50,65,107,105,107,86,520,0
480,Uxie,psychic,None,75,75,130,75,130,95,580,1
481,Mesprit,psychic,None,80,105,105,105,105,80,580,1
482,Azelf,psychic,None,75,125,70,125,70,115,580,1
483,Dialga,steel,dragon,100,120,120,150,100,90,680,1
484,Palkia,water,dragon,90,120,100,150,120,100,680,1
485,Heatran,fire,steel,91,90,106,130,106,77,600,1
486,Regigigas,normal,None,110,160,110,80,110,100,670,1
487,Giratina,ghost,dragon,150,120,100,120,100,90,680,1
488,Cresselia,psychic,None,120,70,120,75,130,85,600,1
489,Phione,water,None,80,80,80,80,80,80,480,0
490,Manaphy,water,None,100,100,100,100,100,100,600,1
491,Darkrai,dark,None,70,90,90,135,90,125,600,1
492,Shaymin,grass,grass,100,103,75,120,75,127,600,1
493,Arceus,normal,None,120,120,120,120,120,120,720,1
494,Victini,psychic,fire,100,100,100,100,100,100,600,1
495,Snivy,grass,None,45,45,55,45,55,63,308,0
496,Servine,grass,None,60,60,75,60,75,83,413,0
497,Serperior,grass,None,75,75,95,75,95,113,528,0
498,Tepig,fire,None,65,63,45,45,45,45,308,0
499,Pignite,fire,fighting,90,93,55,70,55,55,418,0
500,Emboar,fire,fighting,110,123,65,100,65,65,528,0
501,Oshawott,water,None,55,55,45,63,45,45,308,0
502,Dewott,water,None,75,75,60,83,60,60,413,0
503,Samurott,water,None,95,100,85,108,70,70,528,0
504,Patrat,normal,None,45,55,39,35,39,42,255,0
505,Watchog,normal,None,60,85,69,60,69,77,420,0
506,Lillipup,normal,None,45,60,45,25,45,55,275,0
507,Herdier,normal,None,65,80,65,35,65,60,370,0
508,Stoutland,normal,None,85,110,90,45,90,80,500,0
509,Purrloin,dark,None,41,50,37,50,37,66,281,0
510,Liepard,dark,None,64,88,50,88,50,106,446,0
511,Pansage,grass,None,50,53,48,53,48,64,316,0
512,Simisage,grass,None,75,98,63,98,63,101,498,0
513,Pansear,fire,None,50,53,48,53,48,64,316,0
514,Simisear,fire,None,75,98,63,98,63,101,498,0
515,Panpour,water,None,50,53,48,53,48,64,316,0
516,Simipour,water,None,75,98,63,98,63,101,498,0
517,Munna,psychic,None,76,25,45,67,55,24,292,0
518,Musharna,psychic,None,116,55,85,107,95,29,487,0
519,Pidove,normal,flying,50,55,50,36,30,43,264,0
520,Tranquill,normal,flying,62,77,62,50,42,65,358,0
521,Unfezant,normal,flying,80,115,80,65,55,93,488,0
522,Blitzle,electric,None,45,60,32,50,32,76,295,0
523,Zebstrika,electric,None,75,100,63,80,63,116,497,0
524,Roggenrola,rock,None,55,75,85,25,25,15,280,0
525,Boldore,rock,None,70,105,105,50,40,20,390,0
526,Gigalith,rock,None,85,135,130,60,80,25,515,0
527,Woobat,psychic,flying,65,45,43,55,43,72,323,0
528,Swoobat,psychic,flying,67,57,55,77,55,114,425,0
529,Drilbur,ground,None,60,85,40,30,45,68,328,0
530,Excadrill,ground,steel,110,135,60,50,65,88,508,0
531,Audino,normal,None,103,60,126,80,126,50,545,0
532,Timburr,fighting,None,75,80,55,25,35,35,305,0
533,Gurdurr,fighting,None,85,105,85,40,50,40,405,0
534,Conkeldurr,fighting,None,105,140,95,55,65,45,505,0
535,Tympole,water,None,50,50,40,50,40,64,294,0
536,Palpitoad,water,ground,75,65,55,65,55,69,384,0
537,Seismitoad,water,ground,105,95,75,85,75,74,509,0
538,Throh,fighting,None,120,100,85,30,85,45,465,0
539,Sawk,fighting,None,75,125,75,30,75,85,465,0
540,Sewaddle,bug,grass,45,53,70,40,60,42,310,0
541,Swadloon,bug,grass,55,63,90,50,80,42,380,0
542,Leavanny,bug,grass,75,103,80,70,80,92,500,0
543,Venipede,bug,poison,30,45,59,30,39,57,260,0
544,Whirlipede,bug,poison,40,55,99,40,79,47,360,0
545,Scolipede,bug,poison,60,100,89,55,69,112,485,0
546,Cottonee,grass,fairy,40,27,60,37,50,66,280,0
547,Whimsicott,grass,fairy,60,67,85,77,75,116,480,0
548,Petilil,grass,None,45,35,50,70,50,30,280,0
549,Lilligant,grass,None,70,60,75,110,75,90,480,0
550,Basculin,water,None,70,92,65,80,55,98,460,0
551,Sandile,ground,dark,50,72,35,35,35,65,292,0
552,Krokorok,ground,dark,60,82,45,45,45,74,351,0
553,Krookodile,ground,dark,95,117,80,65,70,92,519,0
554,Darumaka,fire,None,70,90,45,15,45,50,315,0
555,Darmanitan,fire,fire,105,30,105,140,105,55,540,0
556,Maractus,grass,None,75,86,67,106,67,60,461,0
557,Dwebble,bug,rock,50,65,85,35,35,55,325,0
558,Crustle,bug,rock,70,105,125,65,75,45,485,0
559,Scraggy,dark,fighting,50,75,70,35,70,48,348,0
560,Scrafty,dark,fighting,65,90,115,45,115,58,488,0
561,Sigilyph,psychic,flying,72,58,80,103,80,97,490,0
562,Yamask,ghost,None,38,30,85,55,65,30,303,0
563,Cofagrigus,ghost,None,58,50,145,95,105,30,483,0
564,Tirtouga,water,rock,54,78,103,53,45,22,355,0
565,Carracosta,water,rock,74,108,133,83,65,32,495,0
566,Archen,rock,flying,55,112,45,74,45,70,401,0
567,Archeops,rock,flying,75,140,65,112,65,110,567,0
568,Trubbish,poison,None,50,50,62,40,62,65,329,0
569,Garbodor,poison,None,80,95,82,60,82,75,474,0
570,Zorua,dark,None,40,65,40,80,40,65,330,0
571,Zoroark,dark,None,60,105,60,120,60,105,510,0
572,Minccino,normal,None,55,50,40,40,40,75,300,0
573,Cinccino,normal,None,75,95,60,65,60,115,470,0
574,Gothita,psychic,None,45,30,50,55,65,45,290,0
575,Gothorita,psychic,None,60,45,70,75,85,55,390,0
576,Gothitelle,psychic,None,70,55,95,95,110,65,490,0
577,Solosis,psychic,None,45,30,40,105,50,20,290,0
578,Duosion,psychic,None,65,40,50,125,60,30,370,0
579,Reuniclus,psychic,None,110,65,75,125,85,30,490,0
580,Ducklett,water,flying,62,44,50,44,50,55,305,0
581,Swanna,water,flying,75,87,63,87,63,98,473,0
582,Vanillite,ice,None,36,50,50,65,60,44,305,0
583,Vanillish,ice,None,51,65,65,80,75,59,395,0
584,Vanilluxe,ice,None,71,95,85,110,95,79,535,0
585,Deerling,normal,grass,60,60,50,40,50,75,335,0
586,Sawsbuck,normal,grass,80,100,70,60,70,95,475,0
587,Emolga,electric,flying,55,75,60,75,60,103,428,0
588,Karrablast,bug,None,50,75,45,40,45,60,315,0
589,Escavalier,bug,steel,70,135,105,60,105,20,495,0
590,Foongus,grass,poison,69,55,45,55,55,15,294,0
591,Amoonguss,grass,poison,114,85,70,85,80,30,464,0
592,Frillish,water,ghost,55,40,50,65,85,40,335,0
593,Jellicent,water,ghost,100,60,70,85,105,60,480,0
594,Alomomola,water,None,165,75,80,40,45,65,470,0
595,Joltik,bug,electric,50,47,50,57,50,65,319,0
596,Galvantula,bug,electric,70,77,60,97,60,108,472,0
597,Ferroseed,grass,steel,44,50,91,24,86,10,305,0
598,Ferrothorn,grass,steel,74,94,131,54,116,20,489,0
599,Klink,steel,None,40,55,70,45,60,30,300,0
600,Klang,steel,None,60,80,95,70,85,50,440,0
601,Klinklang,steel,None,60,100,115,70,85,90,520,0
602,Tynamo,electric,None,35,55,40,45,40,60,275,0
603,Eelektrik,electric,None,65,85,70,75,70,40,405,0
604,Eelektross,electric,None,85,115,80,105,80,50,515,0
605,Elgyem,psychic,None,55,55,55,85,55,30,335,0
606,Beheeyem,psychic,None,75,75,75,125,95,40,485,0
607,Litwick,ghost,fire,50,30,55,65,55,20,275,0
608,Lampent,ghost,fire,60,40,60,95,60,55,370,0
609,Chandelure,ghost,fire,60,55,90,145,90,80,520,0
610,Axew,dragon,None,46,87,60,30,40,57,320,0
611,Fraxure,dragon,None,66,117,70,40,50,67,410,0
612,Haxorus,dragon,None,76,147,90,60,70,97,540,0
613,Cubchoo,ice,None,55,70,40,60,40,40,305,0
614,Beartic,ice,None,95,130,80,70,80,50,505,0
615,Cryogonal,ice,None,80,50,50,95,135,105,515,0
616,Shelmet,bug,None,50,40,85,40,65,25,305,0
617,Accelgor,bug,None,80,70,40,100,60,145,495,0
618,Stunfisk,ground,electric,109,66,84,81,99,32,471,0
619,Mienfoo,fighting,None,45,85,50,55,50,65,350,0
620,Mienshao,fighting,None,65,125,60,95,60,105,510,0
621,Druddigon,dragon,None,77,120,90,60,90,48,485,0
622,Golett,ground,ghost,59,74,50,35,50,35,303,0
623,Golurk,ground,ghost,89,124,80,55,80,55,483,0
624,Pawniard,dark,steel,45,85,70,40,40,60,340,0
625,Bisharp,dark,steel,65,125,100,60,70,70,490,0
626,Bouffalant,normal,None,95,110,95,40,95,55,490,0
627,Rufflet,normal,flying,70,83,50,37,50,60,350,0
628,Braviary,normal,flying,100,123,75,57,75,80,510,0
629,Vullaby,dark,flying,70,55,75,45,65,60,370,0
630,Mandibuzz,dark,flying,110,65,105,55,95,80,510,0
631,Heatmor,fire,None,85,97,66,105,66,65,484,0
632,Durant,bug,steel,58,109,112,48,48,109,484,0
633,Deino,dark,dragon,52,65,50,45,50,38,300,0
634,Zweilous,dark,dragon,72,85,70,65,70,58,420,0
635,Hydreigon,dark,dragon,92,105,90,125,90,98,600,0
636,Larvesta,bug,fire,55,85,55,50,55,60,360,0
637,Volcarona,bug,fire,85,60,65,135,105,100,550,0
638,Cobalion,steel,fighting,91,90,129,90,72,108,580,1
639,Terrakion,rock,fighting,91,129,90,72,90,108,580,1
640,Virizion,grass,fighting,91,90,72,90,129,108,580,1
641,Tornadus,flying,None,79,100,80,110,90,121,580,1
642,Thundurus,electric,flying,79,105,70,145,80,101,580,1
643,Reshiram,dragon,fire,100,120,100,150,120,90,680,1
644,Zekrom,dragon,electric,100,150,120,120,100,90,680,1
645,Landorus,ground,flying,89,145,90,105,80,91,600,1
646,Kyurem,dragon,ice,125,120,90,170,100,95,700,1
647,Keldeo,water,fighting,91,72,90,129,90,108,580,1
648,Meloetta,normal,psychic,100,128,90,77,77,128,600,1
649,Genesect,bug,steel,71,120,95,120,95,99,600,1
650,Chespin,grass,None,56,61,65,48,45,38,313,0
651,Quilladin,grass,None,61,78,95,56,58,57,405,0
652,Chesnaught,grass,fighting,88,107,122,74,75,64,530,0
653,Fennekin,fire,None,40,45,40,62,60,60,307,0
654,Braixen,fire,None,59,59,58,90,70,73,409,0
655,Delphox,fire,psychic,75,69,72,114,100,104,534,0
656,Froakie,water,None,41,56,40,62,44,71,314,0
657,Frogadier,water,None,54,63,52,83,56,97,405,0
658,Greninja,water,dark,72,145,67,153,71,132,640,0
659,Bunnelby,normal,None,38,36,38,32,36,57,237,0
660,Diggersby,normal,ground,85,56,77,50,77,78,423,0
661,Fletchling,normal,flying,45,50,43,40,38,62,278,0
662,Fletchinder,fire,flying,62,73,55,56,52,84,382,0
663,Talonflame,fire,flying,78,81,71,74,69,126,499,0
664,Scatterbug,bug,None,38,35,40,27,25,35,200,0
665,Spewpa,bug,None,45,22,60,27,30,29,213,0
666,Vivillon,bug,flying,80,52,50,90,50,89,411,0
667,Litleo,fire,normal,62,50,58,73,54,72,369,0
668,Pyroar,fire,normal,86,68,72,109,66,106,507,0
669,Flabébé,fairy,None,44,38,39,61,79,42,303,0
670,Floette,fairy,None,74,65,67,125,128,92,551,0
671,Florges,fairy,None,78,65,68,112,154,75,552,0
672,Skiddo,grass,None,66,65,48,62,57,52,350,0
673,Gogoat,grass,None,123,100,62,97,81,68,531,0
674,Pancham,fighting,None,67,82,62,46,48,43,348,0
675,Pangoro,fighting,dark,95,124,78,69,71,58,495,0
676,Furfrou,normal,None,75,80,60,65,90,102,472,0
677,Espurr,psychic,None,62,48,54,63,60,68,355,0
678,Meowstic,psychic,None,74,48,76,83,81,104,466,0
679,Honedge,steel,ghost,45,80,100,35,37,28,325,0
680,Doublade,steel,ghost,59,110,150,45,49,35,448,0
681,Aegislash,steel,ghost,60,150,50,150,50,60,520,0
682,Spritzee,fairy,None,78,52,60,63,65,23,341,0
683,Aromatisse,fairy,None,101,72,72,99,89,29,462,0
684,Swirlix,fairy,None,62,48,66,59,57,49,341,0
685,Slurpuff,fairy,None,82,80,86,85,75,72,480,0
686,Inkay,dark,psychic,53,54,53,37,46,45,288,0
687,Malamar,dark,psychic,86,92,88,68,75,73,482,0
688,Binacle,rock,water,42,52,67,39,56,50,306,0
689,Barbaracle,rock,water,72,105,115,54,86,68,500,0
690,Skrelp,poison,water,50,60,60,60,60,30,320,0
691,Dragalge,poison,dragon,65,75,90,97,123,44,494,0
692,Clauncher,water,None,50,53,62,58,63,44,330,0
693,Clawitzer,water,None,71,73,88,120,89,59,500,0
694,Helioptile,electric,normal,44,38,33,61,43,70,289,0
695,Heliolisk,electric,normal,62,55,52,109,94,109,481,0
696,Tyrunt,rock,dragon,58,89,77,45,45,48,362,0
697,Tyrantrum,rock,dragon,82,121,119,69,59,71,521,0
698,Amaura,rock,ice,77,59,50,67,63,46,362,0
699,Aurorus,rock,ice,123,77,72,99,92,58,521,0
700,Sylveon,fairy,None,95,65,65,110,130,60,525,0
701,Hawlucha,fighting,flying,78,92,75,74,63,118,500,0
702,Dedenne,electric,fairy,67,58,57,81,67,101,431,0
703,Carbink,rock,fairy,50,50,150,50,150,50,500,0
704,Goomy,dragon,None,45,50,35,55,75,40,300,0
705,Sliggoo,dragon,None,68,75,53,83,113,60,452,0
706,Goodra,dragon,None,90,100,70,110,150,80,600,0
707,Klefki,steel,fairy,57,80,91,80,87,75,470,0
708,Phantump,ghost,grass,43,70,48,50,60,38,309,0
709,Trevenant,ghost,grass,85,110,76,65,82,56,474,0
710,Pumpkaboo,ghost,grass,59,66,70,44,55,41,335,0
711,Gourgeist,ghost,grass,85,100,122,58,75,54,494,0
712,Bergmite,ice,None,55,69,85,32,35,28,304,0
713,Avalugg,ice,None,95,117,184,44,46,28,514,0
714,Noibat,flying,dragon,40,30,35,45,40,55,245,0
715,Noivern,flying,dragon,85,70,80,97,80,123,535,0
716,Xerneas,fairy,None,126,131,95,131,98,99,680,1
717,Yveltal,dark,flying,126,131,95,131,98,99,680,1
718,Zygarde,dragon,ground,216,100,121,91,95,85,708,1
719,Diancie,rock,fairy,50,160,110,160,110,110,700,1
720,Hoopa,psychic,ghost,80,160,60,170,130,80,680,1
721,Volcanion,fire,water,80,110,120,130,90,70,600,1
722,Rowlet,grass,flying,68,55,55,50,50,42,320,0
723,Dartrix,grass,flying,78,75,75,70,70,52,420,0
724,Decidueye,grass,ghost,78,107,75,100,100,70,530,0
725,Litten,fire,None,45,65,40,60,40,70,320,0
726,Torracat,fire,None,65,85,50,80,50,90,420,0
727,Incineroar,fire,dark,95,115,90,80,90,60,530,0
728,Popplio,water,None,50,54,54,66,56,40,320,0
729,Brionne,water,None,60,69,69,91,81,50,420,0
730,Primarina,water,fairy,80,74,74,126,116,60,530,0
731,Pikipek,normal,flying,35,75,30,30,30,65,265,0
732,Trumbeak,normal,flying,55,85,50,40,50,75,355,0
733,Toucannon,normal,flying,80,120,75,75,75,60,485,0
734,Yungoos,normal,None,48,70,30,30,30,45,253,0
735,Gumshoos,normal,None,88,110,60,55,60,45,418,0
736,Grubbin,bug,None,47,62,45,55,45,46,300,0
737,Charjabug,bug,electric,57,82,95,55,75,36,400,0
738,Vikavolt,bug,electric,77,70,90,145,75,43,500,0
739,Crabrawler,fighting,None,47,82,57,42,47,63,338,0
740,Crabominable,fighting,ice,97,132,77,62,67,43,478,0
741,Oricorio,fire,flying,75,70,70,98,70,93,476,0
742,Cutiefly,bug,fairy,40,45,40,55,40,84,304,0
743,Ribombee,bug,fairy,60,55,60,95,70,124,464,0
744,Rockruff,rock,None,45,65,40,30,40,60,280,0
745,Lycanroc,rock,None,85,115,75,55,75,82,487,0
746,Wishiwashi,water,None,45,140,130,140,135,30,620,0
747,Mareanie,poison,water,50,53,62,43,52,45,305,0
748,Toxapex,poison,water,50,63,152,53,142,35,495,0
749,Mudbray,ground,None,70,100,70,45,55,45,385,0
750,Mudsdale,ground,None,100,125,100,55,85,35,500,0
751,Dewpider,water,bug,38,40,52,40,72,27,269,0
752,Araquanid,water,bug,68,70,92,50,132,42,454,0
753,Fomantis,grass,None,40,55,35,50,35,35,250,0
754,Lurantis,grass,None,70,105,90,80,90,45,480,0
755,Morelull,grass,fairy,40,35,55,65,75,15,285,0
756,Shiinotic,grass,fairy,60,45,80,90,100,30,405,0
757,Salandit,poison,fire,48,44,40,71,40,77,320,0
758,Salazzle,poison,fire,68,64,60,111,60,117,480,0
759,Stufful,normal,fighting,70,75,50,45,50,50,340,0
760,Bewear,normal,fighting,120,125,80,55,60,60,500,0
761,Bounsweet,grass,None,42,30,38,30,38,32,210,0
762,Steenee,grass,None,52,40,48,40,48,62,290,0
763,Tsareena,grass,None,72,120,98,50,98,72,510,0
764,Comfey,fairy,None,51,52,90,82,110,100,485,0
765,Oranguru,normal,psychic,90,60,80,90,110,60,490,0
766,Passimian,fighting,None,100,120,90,40,60,80,490,0
767,Wimpod,bug,water,25,35,40,20,30,80,230,0
768,Golisopod,bug,water,75,125,140,60,90,40,530,0
769,Sandygast,ghost,ground,55,55,80,70,45,15,320,0
770,Palossand,ghost,ground,85,75,110,100,75,35,480,0
771,Pyukumuku,water,None,55,60,130,30,130,5,410,0
772,Type: Null,normal,None,95,95,95,95,95,59,534,0
773,Silvally,normal,None,95,95,95,95,95,95,570,0
774,Minior,rock,flying,60,100,60,100,60,120,500,0
775,Komala,normal,None,65,115,65,75,95,65,480,0
776,Turtonator,fire,dragon,60,78,135,91,85,36,485,0
777,Togedemaru,electric,steel,65,98,63,40,73,96,435,0
778,Mimikyu,ghost,fairy,55,90,80,50,105,96,476,0
779,Bruxish,water,psychic,68,105,70,70,70,92,475,0
780,Drampa,normal,dragon,78,60,85,135,91,36,485,0
781,Dhelmise,ghost,grass,70,131,100,86,90,40,517,0
782,Jangmo-o,dragon,None,45,55,65,45,45,45,300,0
783,Hakamo-o,dragon,fighting,55,75,90,65,70,65,420,0
784,Kommo-o,dragon,fighting,75,110,125,100,105,85,600,0
785,Tapu Koko,electric,fairy,70,115,85,95,75,130,570,1
786,Tapu Lele,psychic,fairy,70,85,75,130,115,95,570,1
787,Tapu Bulu,grass,fairy,70,130,115,85,95,75,570,1
788,Tapu Fini,water,fairy,70,75,115,95,130,85,570,1
789,Cosmog,psychic,None,43,29,31,29,31,37,200,1
790,Cosmoem,psychic,None,43,29,131,29,131,37,400,1
791,Solgaleo,psychic,steel,137,137,107,113,89,97,680,1
792,Lunala,psychic,ghost,137,113,89,137,107,97,680,1
793,Nihilego,rock,poison,109,53,47,127,131,103,570,1
794,Buzzwole,bug,fighting,107,139,139,53,53,79,570,1
795,Pheromosa,bug,fighting,71,137,37,137,37,151,570,1
796,Xurkitree,electric,None,83,89,71,173,71,83,570,1
797,Celesteela,steel,flying,97,101,103,107,101,61,570,1
798,Kartana,grass,steel,59,181,131,59,31,109,570,1
799,Guzzlord,dark,dragon,223,101,53,97,53,43,570,1
800,Necrozma,psychic,None,97,107,101,127,89,79,600,1
801,Magearna,steel,fairy,80,95,115,130,115,65,600,1
